country,2014
Benin,14
Cameroon,18
Egypt,255
Ghana,92
IvoryCoast,27
Mali,14
Mauritius,370
Morocco,NA
Nigeria,53
Senegal,6
SouthAfrica,172
Togo,36
Tunisia,245
India,267
Indonesia,20
Japan,3212
Taiwan,1018
Australia,2907
NewZealand,1286
Albania,300
Austria,992
Belarus,356
Belgium,2834
BosniaandHerzegovina,NA
Bulgaria,851
Croatia,734
Cyprus,1562
CzechRepublic,2742
Denmark,2895
Estonia,2293
Finland,1663
France,1420
Germany,1033
Greece,2231
Hungary,670
Iceland,2281
Ireland,730
Italy,1089
Kazakhstan,760
Latvia,1105
Lithuania,171
Macedonia,1797
Malta,327
Moldova(Republicof),311
Montenegro,851
Netherlands,1509
Norway,2122
Poland,718
Portugal,719
Romania,228
Russia,830
Serbia,694
Slovenia,2354
Spain,2452
Sweden,2010
Switzerland,1322
Ukraine,452
UnitedKingdom,986
Argentina,661
Bolivia,118
Brazil,246
Chile,237
Colombia,63
DominicanRepublic,5
Ecuador,63
Guatemala,11
Mexico,110
Nicaragua,27
Panama,87
Paraguay,28
Peru,131
Uruguay,128
Venezuela(BolivarianRepublicof),51
Israel,5203
Canada,854
UnitedStates,614
