country,2006
Albania,39
Argentina,225
Australia,2166
Austria,632
Belgium,2190
Bolivia(PlurinationalStateof),NA
Brazil,68
Bulgaria,352
Canada,356
Chile,88
Colombia,38
Cyprus,1826
CzechRepublic,1339
Denmark,2305
DominicanRepublic,11
Ecuador,24
Egypt,346
Finland,1672
France,448
Germany,846
Greece,2064
Guatemala,NA
Hungary,657
Iceland,1770
India,40
Ireland,928
Israel,3988
Italy,650
Japan,689
Korea(Republicof),903
Latvia,123
Lebanon,NA
Lithuania,200
Macedonia,444
Mexico,NA
Montenegro,NA
Netherlands,1078
NewZealand,1051
Norway,1543
Peru,44
Poland,304
Portugal,403
RussianFederation,167
SaudiArabia,NA
Serbia,134
Slovenia,1395
SouthAfrica,NA
Spain,2095
Sweden,1652
Switzerland,945
Turkey,532
Ukraine,131
UnitedKingdom,631
UnitedStates,352
Uruguay,192
Venezuela(BolivarianRepublicof),35
