country,2013
Benin,11
Cameroon,16
Egypt,291
Ghana,58
IvoryCoast,11
Mali,12
Mauritius,440
Morocco,399
Nigeria,69
Senegal,5
SouthAfrica,128
Togo,61
Tunisia,923
India,114
Indonesia,16
Japan,2897
Korea(Republicof),NA
Australia,2874
NewZealand,1197
Albania,415
Austria,947
Belarus,340
Belgium,3041
Bulgaria,770
Croatia,1600
Cyprus,1702
CzechRepublic,2555
Denmark,2716
Estonia,2279
Finland,1653
France,1332
Germany,942
Greece,1818
Hungary,621
Iceland,2575
Ireland,765
Italy,1016
Kazakhstan,1018
Latvia,619
Lithuania,181
Macedonia,1074
Malta,243
Moldova(Republicof),268
Montenegro,969
Netherlands,1502
Norway,1749
Poland,542
Portugal,681
Romania,213
Russia,629
Serbia,469
Slovenia,2385
Spain,2374
Sweden,2266
Switzerland,1287
Ukraine,423
UnitedKingdom,967
Argentina,349
Bolivia,33
Brazil,278
Chile,185
Colombia,62
DominicanRepublic,18
Ecuador,72
Guatemala,20
Mexico,154
Nicaragua,37
Panama,533
Paraguay,6
Peru,211
Uruguay,142
Venezuela(BolivarianRepublicof),168
Israel,5083
Canada,857
UnitedStates,491
