country,2010
Argentina,462
Australia,2562
Austria,826
Belgium,2992
Brazil,163
Bulgaria,2099
Cameroon,12
Canada,535
Chile,130
Colombia,38
CzechRepublic,1968
Denmark,2860
DominicanRepublic,8
Ecuador,55
Egypt,1684
Finland,1657
France,1329
Germany,919
Greece,1907
Guatemala,17
Hungary,563
Iceland,2755
India,103
Indonesia,16
Ireland,1132
Israel,4775
Italy,971
Japan,1911
Kazakhstan,484
Korea(Republicof),NA
Lebanon,3323
Lithuania,147
Mali,14
Mexico,142
Moldova(Republicof),289
Montenegro,672
Netherlands,1438
NewZealand,1203
Nicaragua,16
Norway,1931
Panama,85
Peru,152
Poland,453
Portugal,672
Romania,67
RussianFederation,387
Serbia,282
Slovenia,2195
SouthAfrica,137
Spain,2116
Sweden,1942
Switzerland,1305
Tunisia,1558
Ukraine,267
UnitedKingdom,941
UnitedStates,574
Uruguay,154
Venezuela(BolivarianRepublicof),48
