country,2012
Albania,581
Argentina,373
Australia,2847
Austria,995
Belarus,290
Benin,12
Belgium,2891
Bolivia,39
Brazil,246
Bulgaria,4447
Cameroon,21
Canada,755
Chile,184
Colombia,57
CzechRepublic,
Cyprus,
Croatia,702
Denmark,2740
DominicanRepublic,
Ecuador,64
Egypt,2119
Estonia,2175
Finland,1778
France,1353
Germany,932
Greece,3108
Guatemala,19
Ghana,30
Hungary,518
Iceland,1881
India,111
Indonesia,16
Ireland,1054
Israel,5218
Italy,1012
Japan,2536
Kazakhstan,927
Korea(Republicof),
Lebanon,
Lithuania,130
Mali,11
Mexico,114
Moldova(Republicof),325
Montenegro,1095
Morocco,331
Netherlands,1528
NewZealand,
Nicaragua,207
Nigeria,75
Norway,1907
Panama,646
Peru,204
Poland,454
Portugal,702
Romania,220
RussianFederation,558
Serbia,496
Slovenia,2302
SouthAfrica,
Spain,2796
Sweden,2026
Switzerland,1251
Taiwan,
Tunisia,1556
Togo,24
Ukraine,331
UnitedKingdom,
UnitedStates,
Uruguay,131
Venezuela(BolivarianRepublicof),113
