country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,73.93000031,73.65000153,74.41999817,75.12000275,75.06999969,77.87000275,78.40000153,79.37000275,79.5,76.15000153,77.38999939,76.77999878,76.26000214,75.56999969,67.66999817,78.16999817,78.88999939,77.88999939,77.65000153,77.13999939,76.77999878,78.65000153,79.33999634,79.56999969,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,69.05999756,70.08000183,71.55000305,72.26000214,75.01999664,76.08000183,75.83000183,77.37999725,77.41000366,78.59999847,80.62999725,81.05999756,82.69999695,82.45999908,82.5,81.62000275,82.48999786,,83.06999969,84.15000153,84.56999969,85.11000061,86.20999908,86.05000305,86.58999634
Caribbean small states,75.87783945,78.12599055,77.66973785,78.40279896,79.18637114,79.36767523,81.97702853,83.80851262,,83.90762801,82.40136247,84.27172331,84.49771383,85.61587026,,,,,,,,,,,
Cuba,,,,70.59999847,70.59999847,70.59999847,71.84999847,71.88999939,71.88999939,75.09999847,75.09999847,75.09999847,75.97000122,77.43000031,77.81999969,79.08000183,79.61000061,79.76999664,79.62999725,79.26000214,78.62000275,81,81.22000122,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,95.66000366,95.47000122,93.08000183,94.23000336,94.66000366,96.37000275,95.01000214,94.40000153,97.69999695,95.83999634,97.26000214,
Cyprus,63.06999969,66.59999847,70.01999664,71.19000244,,,,,82.20999908,83.5,83.61000061,84.73999786,85.27999878,85.93000031,86.84999847,87.94000244,87.58000183,87.31999969,88.08000183,88.94999695,89.52999878,90.73999786,90.61000061,91.36000061,
Czech Republic,,61.13000107,62.72999954,63.63999939,64.77999878,66.29000092,66.80000305,68,68.87999725,68.19999695,68.62999725,69.48000336,70,70.68000031,70.18000031,70.66000366,70.97000122,73.73999786,74.87999725,74.22000122,74.73000336,75.01999664,74.76000214,74.61000061,
Germany,72.73999786,74.55999756,75.83999634,76.73000336,77.94000244,78.54000092,78.75,79.12999725,79.56999969,80.01999664,80.40000153,81.22000122,81.27999878,82.19999695,82.33999634,82.38999939,83.62999725,84.15000153,84.45999908,84.55999756,84.69000244,84.93000031,84.77999878,85.15000153,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,71.87999725,,71.94999695,,81.58999634,,,,,,,,,,,,,,,
Denmark,81.48999786,82.44999695,82.02999878,82.36000061,82.66999817,83.41999817,83.29000092,82.76999664,84.40000153,83.76000214,85.80999756,86.44000244,85.94999695,85.87000275,86.75,85.69000244,86.66000366,88.79000092,89.87000275,89.70999908,89.34999847,89.66999817,89.58000183,89.05000305,88.66999817
Dominican Republic,75.48000336,75.13999939,76.48999786,77.84999847,75.56999969,76.76000214,75.40000153,76.76999664,77.41999817,81.33000183,82.73999786,83.02999878,78.41000366,78.11000061,83.80999756,84.25,,88.43000031,87.69000244,87.90000153,87.05999756,89.08999634,87.69999695,88.23000336,89.11000061
Algeria,,,,,,,,,,59.16999817,,63.75,49.47999954,,,,,,,,,69.01000214,11.67000008,,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,,,31.1476323,,,,,39.95786509,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,55.22376777,55.96192151,56.73429417,58.03610291,59.29497787,60.20409946,61.91407224,63.2486569,64.62222524,65.86803321,65.9198094,67.18500802,67.47500359,67.84555377,68.24352538,69.6862855,70.81707427,
Europe & Central Asia,,,,,,70.8688369,71.13534719,70.11162084,70.50173282,70.77433108,71.5571636,72.67226004,73.2692437,74.35012054,75.16552738,75.91021856,76.76397652,76.46797491,77.4593099,77.53849629,77.74930786,78.07055563,78.96914495,79.37412192,
Ecuador,81.01999664,80.98000336,82.59999847,83.19000244,84.08999634,82.66000366,84.01000214,82.58999634,80.63999939,79.11000061,81.13999939,,81.15000153,83.62999725,83.08000183,,,,,68.06999969,67.98999786,67.45999908,67.87000275,68.51999664,
