country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Barbados,,,,,,,,1.015599966,1.006909966,0.995429993,0.99545002,0.994289994,0.99198997,0.993139982,1.000270009,1.009410024,1.012599945,1.011989951,1.011479974,1.018030047,,,1.01899004,
BruneiDarussalam,1.014240026,1.019739985,1.010489941,,,,0.998619974,0.994610012,0.995869994,0.991739988,0.989279985,0.997749984,0.993600011,0.994229972,0.996699989,0.997430027,0.998239994,0.999260008,1.002220035,0.994830012,1.002650023,1.010149956,1.001129985,1.002719998
Bhutan,,,,,,,0.816619992,0.833729982,0.854950011,0.88023001,,,,0.942870021,0.961120009,0.971700013,0.989220023,1.012009978,1.02007997,1.025290012,1.032109976,1.034240007,1.037170053,
Botswana,1.074489951,1.057350039,1.041579962,1.035459995,,,1.023959994,1.022230029,1.020709991,1.014670014,1.012879968,1.012809992,1.005100012,1.001449943,1.005370021,1.002159953,1.012789965,,,,,,,
CentralAfricanRepublic,0.619700015,,,,,,,,,0.659070015,,,,,,,,0.686010003,,0.693679988,0.700969994,,,
Canada,0.992190003,0.989910007,0.990079999,0.993560016,0.993690014,,0.996299982,1.009279966,1.010450006,,,,,0.984220028,0.985790014,0.985780001,0.986119986,0.987749994,0.989310026,0.992009997,1.003280044,1.005949974,,
CentralEuropeandtheBaltics,1.010040045,1.002529979,1.00443995,1.00928998,1.006749988,1.001139998,1.000929952,0.999759972,0.99752003,0.996580005,0.994449973,0.991219997,1.001070023,0.996879995,0.995000005,0.994260013,0.994239986,0.995159984,0.993030012,0.990419984,0.99150002,0.987569988,0.98901999,
Switzerland,0.972299993,0.955489993,0.96092999,0.963660002,0.968050003,,0.956160009,0.960820019,0.967220008,0.974730015,0.971669972,0.969850004,0.964640021,0.966949999,0.967310011,0.969600022,0.972000003,0.975059986,0.981440008,0.983770013,0.983030021,0.98518002,0.983359993,0.979330003
ChannelIslands,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0.986429989,0.994840026,,,,,0.985589981,0.985849977,0.982770026,,0.98435998,0.983389974,0.97378999,0.975220025,0.980719984,0.982270002,0.982339978,0.98597002,0.998109996,0.998449981,1.001999974,0.992060006,0.992169976,0.991100013
China,0.873790026,0.881120026,0.902469993,0.917159975,0.931280017,0.941820025,,,,0.971449971,,0.971300006,,,0.992269993,0.994430006,0.998660028,1.004240036,0.989409983,0.992929995,0.998030007,1.007400036,1.011139989,1.013489962
Coted'Ivoire,,,,,,,,0.692920029,,,,,,,,,,,,,,,0.820070028,0.830150008
Cameroon,0.871079981,,,0.846669972,,0.853659987,0.805620015,0.825779974,,0.852949977,0.800019979,0.847559988,0.840600014,0.826070011,0.827740014,0.837710023,0.842429996,0.85619998,,0.861549973,0.869279981,,0.876699984,0.8829
"Congo,Dem.Rep.",0.698469996,0.706589997,0.672919989,0.670210004,,,,,,,,,,,,0.739849985,0.76394999,0.77433002,0.787810028,0.788980007,0.801110029,0.827759981,0.828830004,
"Congo,Rep.",0.887669981,,,,0.878780007,,,,,,0.885290027,0.860000014,0.909929991,,,,,,,,1.002449989,,,
Colombia,1.10473001,1.072199941,,1.053050041,1.017339945,,1.02820003,1.043480039,1.037940025,,1.036710024,,1.038579941,1.034819961,1.042529941,1.046300054,1.043660045,1.046350002,1.038429976,1.026929975,1.026729941,1.026960015,1.022770047,1.019449949
Comoros,,,,,,,,0.844789982,,,0.828880012,0.826870024,0.848039985,,,,,,,,,0.97529,0.979770005,
CaboVerde,,,0.97894001,,,,,,,1.009039998,1.003939986,1.013820052,1.018329978,1.025030017,1.049980044,1.05381,1.017680049,1.040339947,1.04460001,1.04192996,1.045269966,1.03760004,1.029659986,1.025599957
CostaRica,1.001209974,1.006680012,1.007459998,1.009850025,1.014000058,1.013000011,1.009260058,1.005910039,1.000550032,1.008440018,0.999260008,,1.000970006,1.000620008,1.005159974,1.002349973,1.006739974,1.008069992,1.007339954,1.008350015,1.009960055,1.021260023,1.022019982,1.016729951
Caribbeansmallstates,1.006890059,1.00048995,1.002959967,1.004070044,1.010540009,1.016299963,1.014160037,1.014750004,1.014430046,1.011430025,1.018599987,1.013020039,1.009039998,1.010259986,1.012470007,1.013820052,1.01354003,1.005139947,1.018110037,1.020779967,1.021489978,1.014979959,1.017770052,
Cuba,1.070549965,1.054299951,1.040570021,1.040830016,0.994229972,1.016639948,,0.996559978,0.990419984,0.995549977,0.974290013,0.973869979,0.992190003,0.99713999,1.003360033,0.99792999,0.999230027,1.001340032,1.000550032,1.002099991,1.010200024,1.00553,0.99594003,0.997969985
Curacao,,,,,,,,,,,,,,,,,,,,,,0.985830009,,
CaymanIslands,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,1.012969971,1.00917995,1.005810022,1.003640056,1.007300019,1.011710048,,1.012959957,1.011980057,1.005839944,1.011540055,1.010329962,1.011489987,1.009080052,1.007419944,1.006119967,1.000650048,1.001860023,1.006170034,1.004349947,1.008550048,1.003299952,1.004459977,0.996190012
