country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Czech Republic,70.61599731,71.22399902,71.1969986,71.21800232,71.33000183,71.34300232,71.20999908,70.91300201,70.74299622,70.58599854,69.95700073,69.57700348,69.49500275,68.93299866,68.64399719,68.89299774,68.65399933,68.4469986,68.21399689,68.25099945,68,67.50299835,67.71600342,68.15200043,68.33100128,68.21600342,68.02600098,67.81800079
Germany,69.78700256,72.29699707,71.41899872,70.76100159,70.2559967,69.87599945,69.72299957,69.59600067,69.79100037,68.83799744,68.27999878,67.81700134,66.93299866,65.84200287,66.26999664,66.89600372,66.81700134,66.91100311,66.80599976,66.66100311,66.45200348,66.69000244,66.52200317,66.5510025,66.53199768,66.43299866,66.27600098,66.08999634
Djibouti,66.52400208,65.93800354,65.94499969,65.93399811,65.94300079,65.99099731,66.05999756,66.1740036,66.30500031,66.40799713,66.45300293,66.43599701,66.36799622,66.27600098,66.20500183,66.18499756,66.20999908,66.27999878,66.39700317,66.56400299,66.77700043,67.04699707,67.34700012,67.65299988,67.93299866,68.13800049,68.3219986,68.46900177
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,75.33100128,74.5019989,74.10500336,73.18699646,71.37599945,73.03600311,72.85800171,73.13300323,71.75,72.625,71.72799683,71.24700165,72.0759964,71.59899902,71.91899872,71.44100189,71.56300354,71.05799866,71.24099731,70.21199799,69.09799957,68.4489975,67.40599823,66.23100281,66.34200287,66.15899658,66.06099701,66.03299713
Dominican Republic,85.04100037,85.18699646,84.3809967,83.875,83.86599731,83.50299835,82.9509964,82.28299713,81.60800171,80.94400024,80.36799622,80.48999786,80.56099701,80.65100098,80.70400238,80.67299652,80.6269989,80.56600189,79.4240036,78.25099945,78.71499634,79.3809967,79.14600372,79.1269989,78.71900177,78.69599915,78.66000366,78.59400177
Algeria,74.32299805,74.91000366,75.45700073,75.97000122,76.46199799,76.94200134,77.40399933,76.69499969,75.98699951,75.28800201,74.60500336,73.9940033,73.40699768,72.84100342,72.29499817,71.76399994,71.23699951,70.71199799,70.19300079,69.68299866,70.0039978,69.44599915,68.88899994,70.16300201,70.28500366,70.44300079,70.59700012,70.69400024
East Asia & Pacific (excluding high income),84.40566781,84.37806303,84.37227747,84.35289371,84.28201483,84.34545557,84.3255297,84.01411838,83.61748373,83.64988921,83.32776889,82.92137531,82.30695958,81.78387542,81.24848608,80.65274648,80.1970361,79.82158381,79.51313645,79.30457416,79.00024938,79.06987055,79.09870898,79.11051465,79.06978797,79.10399222,79.05943336,78.9485145
Early-demographic dividend,83.02434622,82.93723043,82.74838393,82.58158056,82.47101293,82.33663856,82.21358761,81.89906529,81.53507882,81.65267011,81.38474238,81.35864594,81.21672531,81.2022369,81.31225854,81.30611345,80.9795617,80.59036684,80.29851838,80.01279323,79.75869373,79.51505906,79.29554364,79.14731556,79.02529218,79.07366547,79.10047346,79.12328284
East Asia & Pacific,83.3198731,83.33824274,83.37415337,83.34624625,83.28402017,83.32839962,83.31410523,83.03496484,82.62380664,82.5970361,82.27276804,81.85539693,81.27822364,80.76253573,80.25268239,79.71158781,79.29338407,78.98090891,78.6738349,78.42794815,78.12670164,78.15311726,78.15331947,78.15090196,78.09816758,78.10842401,78.05406817,77.94576704
Europe & Central Asia (excluding high income),74.23565761,73.75826204,73.22441671,72.1736321,71.30234818,71.03589315,70.21946984,69.22307836,68.50162412,69.50873509,68.89082611,68.02224608,67.41338072,67.39187516,67.67673148,67.97013821,68.01499716,68.56219759,69.15577485,69.16387902,69.33405733,69.68992199,69.75903321,69.89549422,70.28335831,70.4142257,70.41715867,70.35974334
Europe & Central Asia,71.68055806,71.46620547,70.6646556,69.82856908,69.14829329,68.80345,68.36283647,67.8179669,67.4706691,67.77008692,67.46047442,66.85247188,66.51577227,66.4295084,66.56343581,66.74329826,66.7677493,66.99355137,67.28529946,67.09376677,66.99216503,67.04033836,67.08751742,67.00867888,67.11138998,67.07631385,66.97893671,66.85209773
Ecuador,84.53199768,84.55999756,84.5759964,84.58899689,84.61199951,84.62000275,84.59200287,84.5739975,84.54299927,84.45600128,84.38999939,84.34200287,84.27999878,84.1969986,84.68599701,84.63300323,85.73400116,84.07900238,83.28399658,82.39499664,80.59400177,80.24199677,79.25800323,79.59100342,79.59400177,79.70300293,79.81400299,79.91699982
"Egypt, Arab Rep.",74.68499756,74.44400024,70.79399872,72.43599701,73.46499634,72.35399628,71.99500275,71.57900238,71.1269989,73.34600067,72.5059967,71.10199738,71.26799774,72.70999908,74.07700348,75.30699921,73.03399658,73.27799988,73.97000122,74.60299683,75.56300354,75.5759964,75.70899963,75.66200256,75.90599823,76.07900238,76.1780014,76.20300293
Euro area,68.32344245,68.61208323,67.60149324,67.03681616,66.59118207,66.1498732,66.08584676,65.93595654,66.05046522,65.79364942,65.66663238,65.30145348,65.25947518,65.05739473,65.19254076,65.2518828,65.19912144,65.18687871,65.15771512,64.70723432,64.31440372,64.02072507,63.97579604,63.60638082,63.33268303,63.13399899,62.94130439,62.7272384
Eritrea,91.85700226,92.1210022,92.42500305,92.71600342,92.89199829,92.86100006,92.71399689,92.43099976,92.02999878,91.56099701,91.06400299,90.5719986,90.08399963,89.65499878,89.35700226,89.21499634,89.18299866,89.26799774,89.41000366,89.58999634,89.7559967,89.93399811,90.09600067,90.21299744,90.27500153,90.24099731,90.18000031,90.09500122
Spain,69.23999786,68.6760025,67.37200165,66.68800354,66.0039978,65.29299927,65.36199951,65.35399628,65.62400055,65.90599823,66.40899658,65.84300232,66.35299683,67.01699829,67.60099792,68.30899811,68.54399872,68.58999634,68.71199799,67.91799927,67.50800323,66.84200287,66.34300232,65.68599701,65.14399719,64.76599884,64.49099731,64.18000031
Estonia,76.61199951,75.59100342,74.51799774,73.40100098,72.23200226,70.99500275,70.52100372,69.98500061,69.95400238,68.08000183,67.34600067,67.03800201,65.72699738,67.64600372,67.23400116,65.63200378,67.90299988,69.07499695,69.67299652,68.84100342,67.68699646,68.50299835,68.69799805,68.90399933,69.34799957,69.53399658,69.53800201,69.40699768
Ethiopia,90.33599854,90.30500031,90.29599762,90.36799622,90.40000153,90.40899658,90.40699768,90.35500336,90.27999878,90.24500275,90.36699677,90.48000336,90.59200287,90.69300079,90.77500153,90.83100128,90.69300079,90.53800201,90.36499786,90.17700195,89.98100281,89.8010025,89.62400055,89.45300293,89.08100128,89.06400299,89.06099701,89.07299805
European Union,69.31588632,69.3295722,68.37305667,67.76578132,67.30459395,66.97040652,66.78951861,66.6284805,66.51034099,66.25833237,66.14077418,65.70244093,65.34099001,65.21070316,65.23794816,65.26552651,65.33613704,65.35904951,65.45589182,65.11383729,64.79391708,64.54755751,64.61026475,64.40044542,64.36970722,64.20830205,64.03966355,63.85857206
Fragile and conflict affected situations,77.70267284,77.60371287,77.43488177,77.24553885,77.21961002,77.12976485,76.96345764,76.81778366,76.69543718,76.58757593,76.61914183,76.91275595,76.83110989,76.73674396,76.73930413,76.73477289,76.72869162,76.68835464,76.66298826,76.52372717,76.46591315,76.38543735,76.23306427,76.17903931,76.11029487,76.11579843,76.1503642,76.1864648
Finland,71.76699829,70.24900055,68.61799622,67.72899628,66.85600281,67.05999756,66.81099701,65.96800232,66.16300201,66.73400116,67.09899902,67.19999695,66.6190033,66.22399902,65.63400269,65.38300323,65.9960022,66.01899719,66.53399658,64.8030014,64.58200073,64.80899811,64.28600311,63.04600143,62.42699814,62.13600159,61.8769989,61.6609993
Fiji,83.38400269,82.7460022,82.06700134,81.34799957,80.60099792,79.84200287,78.99099731,78.2519989,77.4940033,76.74099731,76.00700378,75.58499908,75.18199921,74.76699829,74.30000305,73.75700378,72.91500092,72.01100159,71.92900085,71.98999786,71.83699799,71.74099731,71.69499969,71.54799652,71.34899902,71.29199982,71.23799896,71.15399933
France,65.66699982,64.60800171,64.40499878,63.89400101,63.48899841,63.14500046,63.4679985,63.125,62.86399841,62.92399979,62.6969986,62.2879982,62.45399857,62.37799835,62.23899841,61.94900131,61.64699936,61.46300125,61.39400101,61.4280014,61.26599884,60.9640007,61.13800049,60.79199982,60.31600189,59.99200058,59.67100143,59.38899994
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,69.24500275,69.23400116,69.1740036,69.14299774,68.64399719,68.15200043,67.6780014,67.21900177,66.77799988,66.35800171,65.95999908,65.53299713,65.125,64.74299622,64.38999939,64.06999969,62.59400177,61.0929985,59.56000137,57.98199844,56.34700012,56.52500153,56.72399902,56.93999863,57.1590004,57.5320015,57.89699936,58.26800156
United Kingdom,74.65699768,74.00499725,72.7460022,71.70500183,71.42199707,71.10500336,70.85199738,70.62400055,70.20500183,70.40399933,70.39099884,69.64700317,69.49299622,69.80999756,69.3710022,69.26499939,69.63400269,69.56900024,69.73699951,69.29599762,68.70500183,68.65200043,68.83100128,68.76399994,68.81999969,68.71399689,68.6190033,68.55400085
Georgia,74.25900269,74.91999817,75.81199646,75.54699707,75.30400085,75.35900116,75.44599915,75.41600037,75.31500244,75.18199921,73.98699951,75.65499878,73.80799866,74.8030014,73.18399811,73.26699829,73.55999756,73.97000122,74.46800232,75.0019989,75.43199921,77.31300354,78.74500275,78.07299805,78.10900116,78.40699768,78.70999908,79.00499725
Ghana,72.94300079,72.85099792,72.75800323,73.23999786,73.71600342,74.19100189,74.6780014,75.15799713,75.63500214,76.10800171,76.58200073,75.70800018,74.77700043,73.79699707,72.77600098,71.72499847,70.66699982,71.84300232,72.98000336,74.08599854,75.16899872,76.27999878,77.3690033,78.4280014,78.3730011,78.51599884,78.64800262,78.77700043
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,81.28099823,81.26799774,81.24299622,81.21199799,81.17700195,81.14299774,81.10299683,81.06600189,81.03099823,81.0019989,80.97799683,80.9489975,80.92900085,80.91100311,80.90000153,80.89700317,80.88600159,80.8809967,80.88500214,80.88899994,80.90200043,81.39499664,81.41300201,85.33200073,85.14299774,85.14700317,85.14399719,85.14399719
"Gambia, The",85.15699768,85.23500061,85.25,85.18599701,84.9980011,84.76399994,84.46499634,84.18599701,83.88800049,83.69999695,83.57299805,83.55400085,83.39299774,83.45899963,83.51699829,83.51100159,83.51100159,83.47799683,83.41100311,83.28700256,83.16200256,83.0719986,82.97299957,82.87200165,82.77500153,82.70999908,82.65000153,82.59300232
Guinea-Bissau,80.6989975,80.54699707,80.52799988,80.58499908,80.61699677,80.55899811,80.40599823,80.16500092,79.77500153,79.51399994,79.31999969,79.16200256,79.03600311,78.94999695,78.88200378,78.81099701,78.71299744,78.60900116,78.51100159,78.42900085,78.37200165,78.33000183,78.28299713,78.25,78.21900177,78.32299805,78.41699982,78.50499725
