country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Azerbaijan,54.25999832,55.33800125,56.24599838,56.82699966,56.89599991,56.82899857,56.65599823,56.57799911,57.45500183,58.1590004,58.79499817,59.37900162,59.94200134,60.52799988,61.09799957,61.72399902,60.86899948,61.50500107,61.78900146,61.18299866,61.20100021,61.42399979,61.61500168,61.85699844,61.98099899
"Bahamas,The",66.58899689,67.44999695,68.22100067,67.84300232,67.29499817,66.51000214,65.53800201,65.81400299,66.11199951,66.46299744,66.82900238,67.15100098,67.42299652,67.68099976,68.06199646,68.43900299,68.79000092,69.11199951,69.45200348,69.43499756,69.48699951,69.51499939,69.4469986,69.43099976,69.39700317
Bahrain,29.49600029,30.14500046,30.86499977,31.59799957,32.09799957,32.63299942,33.28099823,34.06200027,34.92200089,35.54800034,35.47499847,35.55400085,35.7159996,36.16999817,37.24499893,38.27199936,39.32300186,40.38600159,41.28900146,40.8409996,40.3390007,39.81000137,39.35599899,39.19499969,38.88899994
Bangladesh,60.56100082,59.14799881,57.72999954,56.31100082,54.88299942,54.6969986,54.52600098,54.3730011,54.24499893,53.04399872,51.83000183,50.59999847,49.35900116,48.11500168,46.86199951,45.61899948,44.39099884,43.18199921,41.9980011,42.17100143,42.37099838,42.63999939,43.04600143,43.13199997,43.19400024
Barbados,61.39199829,62.26599884,63.00899887,63.79499817,64.47499847,63.56900024,63.65100098,63.49300003,63.61000061,63.93700027,62.76100159,63.48400116,64.18599701,64.19599915,64.1210022,63.99399948,63.81900024,63.60699844,63.49399948,63.57400131,62.13299942,62.95399857,62.61299896,62.35100174,62.10499954
Belarus,58.43799973,57.4980011,56.59899902,55.76100159,54.99399948,54.27899933,53.5890007,52.88299942,53.04100037,53.19100189,53.33000183,53.46300125,53.60800171,53.7820015,53.91899872,54.09000015,54.27999878,54.45800018,54.53900146,54.60400009,54.62799835,54.62799835,54.60200119,54.50699997,54.2879982
Belgium,38.70000076,39.39799881,39.97700119,40.375,40.43000031,40.86600113,41.4469986,43.08100128,43.55599976,41.7840004,43.09899902,43.55899811,44.62400055,45.78900146,45.93199921,46.70899963,47.02500153,47.0320015,47.77399826,47.06100082,47.12400055,47.79999924,48.17200089,48.20800018,48.18799973
Belize,35.92399979,35.70500183,35.64099884,35.88399887,36.33300018,37.28300095,38.2519989,39.25299835,40.29299927,41.3409996,42.42100143,43.51900101,44.61399841,45.69499969,46.95299911,48.19400024,49.42399979,50.64799881,51.86800003,53.20000076,54.52799988,55.29999924,56.06200027,56.27899933,56.4659996
Benin,57.44800186,58.3030014,59.15299988,59.9980011,60.8219986,61.63600159,62.43899918,63.22900009,64.0059967,64.76999664,65.52500153,66.20899963,66.83200073,67.39299774,67.86599731,68.27899933,68.64199829,68.97699738,69.28600311,69.49700165,69.64299774,69.79499817,69.96399689,69.97599792,69.98400116
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,48.67100143,48.26599884,47.89799881,47.48799896,48.3769989,49.34600067,50.41799927,51.7120018,53.27600098,56.3409996,59.30500031,61.86500168,63.82600021,65.17099762,65.64900208,65.83599854,65.78900146,65.61599731,63.81399918,62.23199844,63.43600082,58.27199936,58.31499863,58.71300125,59.0870018
Bolivia,51.95100021,52.85300064,53.75,54.64099884,56.95700073,59.18000031,59.15599823,59.13899994,59.125,59.44499969,59.76900101,60.0929985,60.4129982,60.72600174,61.31600189,61.88899994,62.44300079,62.97200012,62.46900177,61.94800186,62.58300018,63.1590004,63.79100037,63.87599945,63.97499847
BosniaandHerzegovina,30.40999985,30.27300072,30.23999977,30.96299934,32.41199875,32.59000015,32.52099991,32.39500046,32.23500061,32.08599854,31.9260006,31.76099968,31.59799957,31.76099968,31.47800064,31.71899986,32.89799881,33.36299896,34.58599854,34.71300125,34.77299881,34.68399811,34.47499847,34.42900085,34.39099884
Botswana,67.36299896,67.63700104,67.91600037,68.23899841,68.47899628,68.73200226,69.00800323,69.31500244,69.65799713,69.9469986,70.26799774,70.62000275,71,71.40000153,71.58699799,71.75900269,72.02700043,72.55200195,72.69300079,72.86000061,73.04699707,73.18299866,73.33100128,73.4469986,73.51799774
Brazil,53.2820015,53.2159996,53.83800125,54.45299911,52.36100006,53.43000031,53.76499939,55.2859993,55.08300018,54.88299942,56.35499954,56.75500107,57.79499817,59.07799911,58.88600159,58.54199982,58.66600037,59.00699997,57.58300018,56.13199997,56.14099884,55.88100052,56.44599915,56.31200027,56.18199921
BritishVirginIslands,,,,,,,,,,,,,,,,,,,,,,,,,
BruneiDarussalam,47.21699905,48.15499878,49.17699814,50.29499817,51.22100067,52.26399994,53.42699814,54.64300156,55.82099915,56.22200012,55.91699982,55.66699982,55.43600082,55.17699814,54.75999832,54.5019989,54.35599899,54.24399948,54.11199951,53.65999985,52.97999954,52.11800003,51.13600159,50.95100021,50.76900101
Bulgaria,54.18700027,53.05099869,51.86899948,50.63299942,49.42200089,48.16699982,46.92200089,45.59199905,44.17300034,46.68000031,46.2519989,44.7879982,45.60599899,44.55599976,46.7159996,47.94400024,48.72200012,47.99499893,47.5379982,47.18500137,47.80400085,48.50999832,48.63000107,48.61100006,48.56100082
BurkinaFaso,76.72799683,76.7480011,76.83699799,76.81600189,76.65699768,76.62799835,76.58100128,76.53500366,76.63800049,76.60199738,76.60900116,76.55200195,76.58699799,76.51999664,76.48699951,76.54799652,76.55799866,76.65299988,76.6269989,76.69499969,76.63600159,76.66200256,76.68699646,76.64199829,76.58599854
Burundi,89.84999847,89.29499817,88.68599701,88.02200317,87.29399872,86.49900055,85.63300323,85.36599731,85.05699921,84.81900024,84.56300354,84.34100342,84.13400269,83.99900055,83.87200165,83.8030014,83.79599762,83.85900116,83.98400116,84.1269989,84.29799652,84.47100067,84.62200165,84.63899994,84.61299896
CaboVerde,43.22200012,43.63700104,44.04700089,44.45299911,44.81200027,45.15100098,45.4679985,45.76900101,46.07300186,46.44400024,46.81200027,47.18000031,47.59999847,47.98600006,48.5340004,49.10800171,49.69900131,50.30799866,50.91500092,51.39699936,51.89500046,52.39599991,52.87900162,53.18399811,53.46699905
Cambodia,77.20800018,77.34300232,77.30599976,77.20600128,77.07700348,76.23899841,75.30999756,77.67299652,78.40399933,81.43800354,79.89800262,78.03199768,75.70500183,75.92299652,76.125,76.29799652,73.6309967,78.00700378,81.59700012,82.26999664,77.5019989,75.6289978,75.51899719,75.53299713,75.5510025
Cameroon,57.35699844,58.34600067,59.31100082,60.2480011,61.13399887,61.81299973,62.48500061,63.15499878,63.82400131,64.47000122,65.11299896,65.75800323,66.41100311,67.0719986,67.73899841,68.41200256,69.08899689,69.76999664,70.45300293,70.56999969,70.68299866,70.77400208,70.88700104,70.97599792,71.05400085
Canada,57.28099823,57.08499908,56.9070015,56.82400131,56.7840004,57.11299896,57.70500183,58.21900177,58.65999985,58.97499847,60.13199997,61.15599823,61.23199844,60.86100006,61.19200134,61.87799835,62.10800171,61.92399979,61.8370018,61.65100098,61.5890007,61.60499954,61.10400009,60.97399902,60.84999847
CaymanIslands,,,,,,,,,,,,,,,,,,,,,,,,,
CentralAfricanRepublic,69.82299805,69.9240036,69.89499664,69.79299927,70.00900269,69.9280014,69.85800171,69.81400299,69.9489975,69.86799622,69.79699707,69.9980011,69.87599945,69.9260025,69.83799744,69.76899719,69.84300232,69.79299927,69.80899811,69.9280014,70.02799988,71.4469986,71.6269989,71.6969986,71.78500366
Chad,63.27199936,64.65699768,64.61599731,64.58000183,64.54100037,64.5059967,64.47399902,64.44300079,64.41300201,64.375,64.33699799,64.30000305,64.26599884,64.23300171,64.1989975,64.16500092,64.13400269,64.10700226,64.08499908,64.06099701,64.04299927,64.02899933,64.01899719,64.00800323,63.99599838
ChannelIslands,47.47900009,47.85800171,47.51399994,47.09700012,47.4980011,47.61999893,48.07400131,48.88700104,49.32899857,49.83200073,50.44900131,51.02799988,50.99399948,51.05899811,51.05699921,51.01399994,51.59600067,52.86899948,52.19200134,50.51399994,50.79499817,51.08100128,50.60800171,50.40999985,50.18299866
Chile,33.88000107,35.51300049,35.51300049,34.38999939,34.0320015,34.96099854,35.27999878,35.43899918,35.35800171,34.59000015,34.4679985,35.78900146,37.26200104,38.20600128,38.99900055,40.02999878,42.1590004,42.5929985,46.77999878,48.68899918,48.9070015,49.73600006,50.60300064,50.65800095,50.70199966
China,73.24700165,73.12200165,72.97100067,72.77999878,72.5530014,72.28500366,71.97399902,71.625,71.24199677,70.42500305,69.53600311,68.61299896,67.71800232,66.90000153,66.16200256,65.51200104,64.91999817,64.33300018,63.72000122,63.74300003,63.75799942,63.77899933,63.72800064,63.58000183,63.34899902
Colombia,31.56399918,31.45100021,33.75999832,36.13399887,38.56399918,41.03300095,43.52899933,46.04100037,48.55500031,51.06200027,53.54499817,55.98699951,53.67100143,53.01499939,51.5890007,50.78499985,51.20100021,54.43999863,55.51900101,55.95899963,57.01900101,57.10200119,57.875,57.92100143,57.95899963
Comoros,27.88699913,28.20899963,28.53000069,28.84900093,29.16300011,29.47699928,29.79299927,30.11400032,30.44199944,30.77300072,31.11199951,31.45999908,31.81900024,32.18799973,32.56200027,32.94800186,33.3429985,33.74300003,34.14500046,34.38999939,34.63399887,34.87799835,35.11999893,35.31900024,35.50899887
"Congo,Dem.Rep.",70.26399994,70.65399933,70.76899719,70.75800323,70.77500153,70.90699768,70.93599701,71.04000092,71.22000122,71.27700043,71.22599792,71.12799835,71.01799774,70.93599701,70.8769989,70.80899811,70.75299835,70.78399658,70.73100281,70.68499756,70.64399719,70.58000183,70.51100159,70.48799896,70.45600128
"Congo,Rep.",58.04999924,58.7140007,59.4129982,60.08800125,60.75500107,61.46500015,62.17900085,62.94800186,63.69599915,64.45500183,65.20800018,65.96900177,66.6989975,67.38300323,67.34500122,67.61799622,67.64900208,67.59500122,67.45500183,67.44000244,67.36000061,67.26399994,67.07099915,67.06199646,67.06600189
CostaRica,32.86199951,33.65100098,34.55599976,35.54899979,33.79100037,36.94499969,39.09600067,38.6570015,36.82699966,41.84400177,41.61899948,41.41600037,39.9679985,43.56499863,43.57099915,44.55599976,44.33100128,44.86999893,44.14500046,46.18899918,45.9280014,46.4679985,46.7120018,46.77600098,46.85300064
Coted'Ivoire,44.60499954,45.22299957,45.85100174,46.49200058,47.13299942,47.78300095,48.44100189,48.69300079,48.97399902,49.27700043,49.59600067,49.91899872,50.23400116,50.5320015,50.81399918,51.08499908,51.3409996,51.58300018,51.81499863,51.91699982,52.02099991,52.13100052,52.25099945,52.35200119,52.45700073
Croatia,46.27799988,46.06700134,45.8370018,45.58599854,45.45999908,45.36299896,45.29000092,45.23600006,45.19400024,44.88000107,44.68500137,44.63199997,45.93000031,46.20700073,46.1590004,45.61899948,45.87799835,46.27099991,45.77799988,44.72299957,44.85800171,44.6629982,46.51900101,46.4129982,46.34799957
Cuba,35.36299896,35.73199844,36.06499863,36.33000183,36.54700089,36.69400024,36.78099823,36.83000183,36.85699844,36.87799835,36.8769989,36.86600113,36.86100006,38.23899841,39.61500168,41.24700165,41.68000031,43.02799988,42.4129982,42.88100052,42.86899948,42.83000183,42.74300003,42.55400085,42.33200073
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,41.62400055,41.96300125,42.61100006,41.56299973,42.63399887,43.72000122,43.51499939,43.64400101,49.65000153,52.12599945,52.76800156,53.97999954,54.05699921,53.56399918,54.35100174,55.22200012,55.48799896,56.18899918,57.14799881,56.35200119,55.74499893,55.78900146,57.24700165,57.47100067,57.63899994
CzechRepublic,52.25,52.3429985,52.59600067,52.31399918,51.75299835,51.73199844,51.91500092,52.18700027,51.75899887,51.45600128,51.18799973,51.03099823,50.73199844,50.80899811,50.65299988,49.91699982,49.38600159,49.54100037,49.27399826,49.45600128,50.08300018,50.99700165,50.9659996,51.09500122,51.20500183
Denmark,62.06600189,61.53900146,57.85699844,57.88899994,58.17200089,58.65999985,59.38000107,59.9620018,60.01599884,59.7840004,59.87400055,59.74399948,60.65100098,60.47600174,61.14300156,60.82600021,61.0359993,60.5909996,59.78300095,59.64099884,59.13800049,58.63199997,58.06700134,58.04000092,58.05500031
Djibouti,28.04800034,28.49699974,28.86300087,29.22800064,29.61499977,29.92300034,30.21299934,30.51399994,30.90399933,31.27599907,31.66900063,32.0870018,32.5340004,33.0359993,33.49300003,34.00999832,34.54600143,35.07799911,35.5719986,35.84999847,36.11800003,36.30799866,36.4640007,36.50099945,36.5340004
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,
DominicanRepublic,44.17599869,44.25799942,44.38299942,44.56299973,44.78499985,45.08200073,45.45800018,45.82099915,46.14400101,46.63999939,47.24700165,47.63399887,48.07300186,48.7820015,49.5530014,50.25099945,48.61700058,46.98699951,49.30400085,51.05599976,51.59799957,52.0530014,52.20999908,52.25899887,52.31299973
Ecuador,44.36000061,45.22299957,45.9659996,46.8219986,47.6609993,48.33399963,49.07600021,50.3429985,51.33599854,52.08100128,52.90299988,53.85200119,57.43600082,55.26100159,56.5719986,54.07500076,52.63700104,52.78099823,49.90499878,49.1780014,49.29600143,48.28300095,48.9070015,48.95399857,49.00699997
"Egypt,ArabRep.",22.15399933,21.41900063,22.1970005,20.88899994,20.14599991,19.4279995,18.73600006,19.40500069,19.60400009,19.92000008,18.70899963,19.25,19.83600044,20.4659996,20.71299934,22.67200089,22.74300003,22.82299995,22.66200066,21.85499954,22.06399918,22.79400063,22.57799911,22.76300049,22.92700005
ElSalvador,41.23099899,43.19200134,44.64799881,43.0890007,41.86399841,42.01800156,45.2859993,45.60900116,45.37900162,45.14500046,44.91699982,46.08300018,44.47100067,45.22700119,45.99700165,46.2179985,46.31100082,46.5909996,46.43600082,46.79800034,47.16899872,48.35800171,48.95800018,49.11299896,49.30400085
EquatorialGuinea,72.21299744,71.66100311,71.1190033,70.62799835,70.16799927,69.81199646,69.58999634,69.52500153,67.97000122,68.08999634,68.31900024,68.61699677,68.94300079,69.26799774,69.50800323,69.7440033,69.97899628,70.21499634,70.44799805,70.63700104,70.8239975,71.0039978,71.16600037,71.31600189,71.41699982
Eritrea,75.8769989,74.95899963,73.89700317,73.60399628,73.41000366,73.45700073,73.81999969,74.27700043,74.81300354,75.03700256,75.40200043,75.8789978,76.21399689,76.49299622,76.76799774,76.96800232,77.41100311,77.50700378,77.61399841,77.56400299,77.52300262,77.59300232,77.63500214,77.68900299,77.74500275
Estonia,59.49399948,57.65399933,55.75600052,53.79299927,54.02700043,54.24300003,53.04000092,52.24100113,51.88499832,52.11899948,50.98099899,52.22800064,52.74599838,53.41899872,55.04399872,54.32300186,55.11199951,55.43399811,56.02000046,56.92900085,55.79899979,55.98600006,55.42300034,55.45000076,55.44900131
Ethiopia,71.93099976,71.71499634,71.71600342,71.64600372,71.39800262,71.36499786,71.49900055,71.43900299,72.72399902,73.9509964,75.13899994,76.28299713,77.3730011,78.40299988,78.23100281,78.04799652,77.85399628,77.65299988,77.44999695,77.26799774,77.08899689,76.91600037,76.94000244,76.9940033,77.06199646
FaroeIslands,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,32.34600067,34.04299927,35.78499985,37.5719986,39.37099838,39.14300156,38.90999985,38.68199921,38.46300125,38.39899826,38.34600067,38.2879982,38.20199966,38.07699966,37.85100174,37.60300064,37.50799942,37.43999863,37.35599899,37.27799988,37.21300125,37.13600159,37.04499817,37.02700043,37.01800156
Finland,56.23400116,55.35900116,54.6570015,54.99599838,55.0019989,54.61299896,54.88199997,56.04800034,56.59700012,56.77299881,57.08399963,56.45600128,56.27099991,56.79299927,57.27000046,57.60400009,57.54899979,57.15000153,56.15399933,55.93799973,56.07699966,55.52199936,55.3730011,55.02700043,54.76599884
France,46.72000122,47.14500046,47.32500076,47.67100143,48.09199905,47.7179985,48.02799988,48.39500046,48.43500137,48.14799881,48.35499954,49.7179985,49.58000183,50.00299835,50.06499863,50.38199997,50.51800156,50.87900162,50.8730011,50.81499863,50.99900055,50.93099976,50.9129982,50.68299866,50.49499893
FrenchPolynesia,48.42399979,48.50600052,48.57899857,48.61100006,48.70100021,48.65599823,48.4980011,48.26399994,48.00400162,47.79000092,47.60300064,47.41699982,47.2840004,47.23199844,47.27700043,47.3370018,47.32699966,47.16799927,47.0019989,46.97100067,46.91999817,46.84899902,46.75999832,46.68500137,46.58200073
Gabon,55.76300049,55.51800156,55.33000183,55.15000153,54.98300171,54.82600021,54.68399811,54.56299973,54.4640007,54.35699844,54.26800156,54.20000076,54.15599823,54.13899994,51.08499908,48.01499939,44.96500015,41.9659996,39.04000092,39.125,39.23699951,39.34500122,39.48600006,39.89199829,40.31299973
"Gambia,The",69.60700226,69.56500244,69.75299835,70.00299835,70.26499939,70.45600128,70.75800323,70.89099884,71.02799988,71.13400269,71.68000031,71.66699982,71.63999939,71.73000336,71.76599884,71.82299805,71.90699768,72.08999634,72.23799896,72.22899628,72.21499634,72.19599915,72.1740036,72.19400024,72.20600128
Georgia,57.73500061,59.30500031,59.69200134,59.44800186,58.80899811,58.2120018,57.97900009,57.76699829,54.72100067,57.68799973,55.31700134,56.83200073,55.79899979,55.37099838,54.9980011,54.69599915,54.47499847,54.32699966,56.2140007,56.58000183,57.56100082,56.98500061,56.98300171,57.26599884,57.59199905
Germany,47.73099899,47.67100143,47.57400131,47.83000183,48.14400101,48.60100174,49.0379982,49.35200119,49.4109993,49.60499954,49.70999908,49.61899948,50.18700027,50.55099869,51.36899948,51.90599823,52.04999924,52.47399902,52.75799942,53.60800171,53.66199875,54.25,54.49700165,54.52799988,54.52899933
Ghana,71.0019989,71.20600128,71.44799805,71.67500305,71.88500214,72.10299683,72.30999756,72.52100372,72.74500275,71.77200317,70.75900269,69.71600342,68.65599823,67.59700012,66.54499817,67.80899811,69.07700348,70.33699799,71.57900238,72.82800293,74.03500366,75.19400024,75.33300018,75.48300171,75.60299683
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,35.14599991,35.41899872,35.84199905,36.54800034,37.81900024,37.88800049,39.48600006,40.35800171,40.29000092,39.43799973,40.11800003,40.78300095,41.95700073,42.08300018,42.52000046,42.51200104,42.55599976,43.59799957,44.20800018,43.94800186,44.18000031,43.96099854,44.04700089,43.93600082,44.00299835
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,52.37599945,52.85300064,53.31800079,53.76900101,54.14199829,54.4980011,54.83399963,55.15499878,55.45199966,55.66999817,54.00299835,53.56399918,53.17900085,56.07500076,56.88700104,51.02000046,52.43899918,53.67399979,54.80799866,55.94800186,55.77099991,55.5929985,55.40599823,55.32799911,55.25400162
Guatemala,31.38299942,32.25500107,33.14300156,34.04399872,34.95399857,35.875,36.80899811,37.75699997,38.7179985,39.70399857,40.69900131,41.70600128,42.7120018,45.09700012,47.51699829,46.08399963,44.65299988,43.22999954,41.81999969,40.43799973,46.24700165,40.51800156,41.02399826,41.25299835,41.49900055
Guinea,53.28900146,54.02500153,54.75799942,55.47800064,56.20199966,56.92100143,57.64300156,58.36299896,59.08800125,59.79700089,60.5,61.22100067,61.93799973,62.65399933,63.3390007,64.02600098,64.69799805,65.38700104,66.10399628,67.1760025,67.18900299,79.26100159,79.48999786,79.47299957,79.44599915
Guinea-Bissau,64.36100006,64.25700378,64.1289978,64.02500153,63.72299957,63.6570015,65.10299683,65.22000122,65.21099854,65.31900024,65.56800079,65.75099945,65.85099792,65.91600037,66.04599762,66.17700195,66.30400085,66.44000244,66.5510025,66.51799774,66.78800201,66.98999786,67.13200378,67.24199677,67.33899689
Guyana,38.11000061,38.78900146,38.63999939,38.41699982,38.69100189,38.89099884,38.94800186,38.96099854,38.90499878,38.9129982,38.8730011,38.79499817,38.78900146,38.72600174,38.93999863,39.33399963,39.68199921,40.02799988,40.4070015,40.74700165,41.07500076,41.42300034,41.78900146,41.79399872,41.84999847
Haiti,56.9980011,57.07699966,57.12200165,57.13000107,57.09199905,57.01699829,56.93000031,56.86600113,56.85100174,57.07500076,57.35200119,57.67300034,58.02500153,58.39899826,58.73099899,59.05699921,59.40599823,59.74900055,60.1570015,60.43600082,60.71300125,60.98500061,61.2519989,61.50099945,61.75600052
Honduras,34.97399902,34.95500183,34.9469986,34.95100021,40.07699966,40.59500122,42.40399933,46.01499939,44.40499878,42.18099976,38.94200134,39.02199936,39.09600067,36.2840004,40.1609993,40.9469986,41.75,42.5719986,44.15999985,44.86700058,45.59400177,46.29199982,46.97200012,47.16600037,47.38100052
"HongKongSAR,China",46.91600037,46.31700134,46.74900055,47.49100113,47.68600082,47.8390007,48.2480011,48.64899826,49.02999878,49.75400162,51.10800171,50.98400116,51.35300064,51.6609993,51.99000168,52.48300171,52.67200089,52.87900162,51.82899857,52.49599838,52.82899857,53.67300034,53.73400116,53.35200119,52.96300125
Hungary,46.63199997,44.48199844,42.51699829,40.44900131,39.97299957,39.27099991,40.12599945,41.06299973,41.38299942,41.07899857,41.33499908,42.2859993,42.27299881,42.91600037,43.10800171,42.76300049,42.5359993,42.69599915,43.68500137,43.84600067,44.73199844,44.95299911,46.31299973,46.41400146,46.50899887
Iceland,69.09899902,69.3730011,69.61499786,70.52100372,69.52700043,68.81500244,70.19000244,71.08300018,71.52799988,71.67299652,70.79199982,71.33000183,69.43499756,70.76899719,71.36199951,71.45700073,70.80899811,69.90599823,70.39900208,69.77400208,70.47699738,70.52600098,70.86399841,70.66500092,70.48699951
India,35.25799942,35.48799896,35.72200012,35.40800095,35.08300018,34.75999832,34.43899918,34.12400055,33.81600189,34.39099884,34.97499847,35.56600189,36.16699982,36.77700043,35.0320015,33.3409996,31.70299911,30.11400032,28.57600021,27.69000053,26.82900047,26.79700089,26.68600082,26.79999924,26.90800095
Indonesia,48.44400024,49.57799911,50.70500183,50.92300034,51.11899948,49.22399902,49.69300079,50.7859993,50.28900146,49.82799911,49.35499954,49.55899811,49.75799942,49.95299911,50.32300186,50.72200012,51.13700104,51.20600128,51.92699814,51.59600067,51.24700165,50.88199997,50.83399963,50.88399887,50.9280014
"Iran,IslamicRep.",9.968000412,10.10700035,10.26399994,10.43599987,10.62899971,11.36499977,12.14700031,12.98400021,13.88300037,14.82900047,15.84599972,16.94199944,18.12700081,19.40699959,18.48999977,17.66900063,15.48700047,16.25300026,15.94999981,16.02799988,16.06699944,16.08399963,16.04299927,16.17300034,16.24300003
Iraq,11.18999958,11.36999989,11.54899979,11.72399998,11.90400028,12.08399963,12.2670002,12.45600033,12.65100002,12.85299969,13.06200027,13.27600002,13.49600029,13.66100025,13.84200001,14.00599957,14.18900013,14.35499954,14.50500011,14.62699986,14.74699974,14.86699963,14.98700047,15.09599972,15.20100021
Ireland,36.67399979,38.26900101,39.34199905,39.95199966,41.51800156,42.51200104,44.60599899,46.56499863,47.65399933,48.03900146,49.19300079,49.68199921,50.06600189,52.41999817,53.26399994,54.35599899,54.20999908,53.81700134,53.32400131,53.0320015,52.75400162,53.125,52.70199966,52.3769989,52.13800049
IsleofMan,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,48.70199966,49.50299835,50.81800079,51.54000092,51.32500076,51.35200119,51.41600037,52.65399933,53.5019989,53.90299988,53.48099899,54.49700165,54.94100189,55.42699814,55.68600082,56.12900162,56.06499863,57.08599854,57.0909996,56.82500076,57.97499847,58.12400055,59.02199936,58.86199951,58.67900085
Italy,34.10900116,33.64199829,33.58300018,33.60100174,33.99100113,34.15200043,34.5929985,35.25699997,35.47299957,36.05199814,36.59199905,37.0530014,38.12099838,37.81800079,37.97800064,37.76699829,38.4070015,37.9109993,37.80400085,37.9070015,39.12599945,38.96900177,39.3730011,39.30599976,39.25899887
Jamaica,67.18299866,67.63200378,68.04399872,66.5,64.7440033,62.77299881,60.58100128,59.74399948,58.90399933,58.25099945,57.60900116,56.97299957,56.86700058,57.27099991,57.5359993,57.79199982,58.0359993,56.10900116,55.14099884,55.08000183,55.77000046,57.30400085,57.61500168,57.67100143,57.89899826
Japan,50.80400085,50.42100143,50.25500107,50.0320015,50.07400131,50.43899918,50.18899918,49.62200165,49.27500153,49.20600128,48.6230011,48.5379982,48.3409996,48.42399979,48.44499969,48.54499817,48.5,48.72100067,49.40200043,48.17300034,48.15800095,48.91699982,49.3429985,49.12200165,48.98400116
Jordan,10.30099964,10.80200005,11.33199978,11.90499973,11.99699974,12.12300014,12.27000046,12.41800022,12.57999992,12.22299957,12.85299969,11.90499973,10.96399975,12.25899982,12.62899971,15.27499962,14.88099957,15.64999962,15.44200039,15.37800026,14.98900032,14.02299976,14.08899975,14.23799992,14.38700008
Kazakhstan,62.33200073,62.35200119,62.46099854,62.67200089,63.03099823,63.44900131,63.88100052,64.28900146,64.66500092,64.89900208,65.12999725,64.72000122,64.01399994,64.43699646,64.81900024,65.25099945,65.73200226,65.26000214,65.53800201,65.6740036,65.85600281,65.57499695,65.8030014,66.06600189,66.23200226
