country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bhutan,102.369,100.3026,98.2362,96.1698,94.1034,92.037,87.655,83.273,78.891,74.509,70.127,65.9384,61.7498,57.5612,53.3726,49.184,44.892,40.6,36.308,32.016,27.724,25.209,22.694,20.179
Botswana,85.278,82.6834,80.0888,77.4942,74.8996,72.305,69.9218,67.5386,65.1554,62.7722,60.389,58.1482,55.9074,53.6666,51.4258,49.185,47.1478,45.1106,43.0734,41.0362,38.999,36.3236,33.6482,30.9728
CentralAfricanRepublic,143.397,141.5976,139.7982,137.9988,136.1994,134.4,132.0272,129.6544,127.2816,124.9088,122.536,119.3534,116.1708,112.9882,109.8056,106.623,104.9652,103.3074,101.6496,99.9918,98.334,95.7756,93.2172,90.6588
Canada,25.139,24.133,23.127,22.121,21.115,20.109,18.9676,17.8262,16.6848,15.5434,14.402,14.3096,14.2172,14.1248,14.0324,13.94,13.4188,12.8976,12.3764,11.8552,11.334,10.7086,10.0832,9.4578
CentralEuropeandtheBaltics,39.43538149,36.88567557,34.36541616,31.83062209,29.31598867,26.76835233,25.76188691,24.79837727,23.94649328,23.01524684,22.15192558,22.37248895,22.5709487,22.69146572,22.64140424,22.46832358,21.90476904,21.42849409,21.08844009,20.81131508,20.62939548,20.06275005,19.51984003,18.94736165
Switzerland,6.539,6.3686,6.1982,6.0278,5.8574,5.687,5.618,5.549,5.48,5.411,5.342,5.1742,5.0064,4.8386,4.6708,4.503,4.301,4.099,3.897,3.695,3.493,3.2754,3.0578,2.8402
ChannelIslands,16.614,16.0464,15.4788,14.9112,14.3436,13.776,13.3964,13.0168,12.6372,12.2576,11.878,11.4848,11.0916,10.6984,10.3052,9.912,9.5432,9.1744,8.8056,8.4368,8.068,7.6044,7.1408,6.6772
Chile,63.648,63.0848,62.5216,61.9584,61.3952,60.832,59.5564,58.2808,57.0052,55.7296,54.454,54.1002,53.7464,53.3926,53.0388,52.685,52.012,51.339,50.666,49.993,49.32,48.7144,48.1088,47.5032
China,17.212,15.7114,14.2108,12.7102,11.2096,9.709,9.3968,9.0846,8.7724,8.4602,8.148,8.0894,8.0308,7.9722,7.9136,7.855,7.7882,7.7214,7.6546,7.5878,7.521,7.4344,7.3478,7.2612
Coted'Ivoire,148.06,146.1112,144.1624,142.2136,140.2648,138.316,138.133,137.95,137.767,137.584,137.401,137.4222,137.4434,137.4646,137.4858,137.507,137.0336,136.5602,136.0868,135.6134,135.14,135.302,135.464,135.626
