country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CaboVerde,,,,,,,,,,89.98195648,90.01254272,90.59249878,96.75762177,100,94.45871735,95.03224945,95.07266235,98.69422913,100,100,98.09767151,97.4348526,99.39808655,
CostaRica,67.813797,69.21360779,69.25161743,69.81065369,,,,83.93956757,81.89179993,86.6050415,,,,96.23935699,,93.79592133,91.14907074,89.69515991,90.6082077,90.26087952,83.06517029,83.31633759,82.40032196,
Caribbeansmallstates,86.00810242,85.55639648,85.65660858,85.96835327,86.03173828,87.39154053,88.64572144,88.27635193,89.77547455,87.14780426,89.25709534,90.25084686,90.17818451,91.16660309,92.34893799,94.97306824,93.47406769,94.63671875,94.30464172,93.63331604,93.01844788,95.80859375,,
Cuba,,,,,,,,98.01143646,98.21321106,98.34015656,98.50789642,99.1177597,98.86839294,99.01725769,98.46353912,98.86903381,98.51525116,99.36470032,98.79530334,99.35887146,98.94145966,99.23799133,98.61962891,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,
CaymanIslands,,,,,,,,97.37400818,90.90908813,92.85713959,,,100,99.57753754,100,95.29337311,,,,93.37348938,100,,,
Cyprus,99.79202271,98.37998962,99.30117798,100,98.42862701,,,100,99.02477264,98.48972321,98.97464752,100,99.35192108,99.56005859,100,100,100,100,100,100,100,99.86461639,100,
CzechRepublic,,,,100,,,,99.89089966,99.94259644,99.56787872,99.67719269,100,100,99.81964874,99.31826019,99.3660965,99.85362244,100,100,100,100,100,100,
Germany,,99.94261169,100,100,99.98632813,,,99.73916626,99.80123901,99.62512207,99.51007843,99.45931244,99.6364212,99.33999634,99.09832001,99.23146057,,,,,,99.3609314,99.24636841,
Djibouti,,,,,,,,60.54553986,79.41822052,,,,87.21694946,83.18791962,,,,,,80.59005737,,100,78.66924286,
Dominica,,,,,,,,96.24758148,95.71077728,,95.55024719,,98.00758362,,,97.59760284,,95.9743576,100,99.88661957,94.82470703,,92.52285004,
Denmark,,,,,,,100,100,,99.90701294,,,99.36559296,99.96186066,96.4511795,97.90762329,100,99.84512329,99.73628235,97.68099213,99.82753754,100,99.99624634,
DominicanRepublic,,,,,,,90.96276093,92.63009644,,,,90.58477783,,,100,,94.63388824,93.37583923,97.4786377,95.25456238,97.22725677,99.20858002,97.68721008,
Algeria,89.88088989,89.74639893,89.09443665,88.85099792,91.64544678,,91.64969635,96.78057098,94.12039948,94.82402802,94.73648071,94.28977966,94.29889679,93.12242889,93.97279358,95.98996735,,97.79176331,97.06228638,95.32418823,96.95983124,98.75679779,97.96363831,
EastAsia&Pacific(excludinghighincome),,,,78.65554047,83.21866608,80.90053558,82.25121307,84.03610229,85.70158386,87.68675995,89.31388855,90.70946503,90.85375214,93.76773834,96.09829712,96.88365936,96.72516632,96.97465515,97.4319458,96.94800568,95.43022919,94.07443237,,
Early-demographicdividend,77.15310669,78.80606079,80.06467438,81.08831024,82.34198761,83.7562561,85.41466522,86.72429657,86.8864212,89.0548172,90.7335968,88.11894989,87.68975067,89.4907074,91.02150726,91.08893585,91.50732422,92.15084839,92.64930725,92.85046387,91.82991028,,,
EastAsia&Pacific,,,,80.27594757,84.38059998,82.12918091,83.27079773,84.88904572,86.39706421,88.24523163,89.77422333,91.09312439,91.2604599,93.98265076,96.15468597,96.93009186,96.77841949,97.01715851,97.43139648,96.97618866,95.58167267,94.32561493,,
Europe&CentralAsia(excludinghighincome),86.4929657,87.47441101,88.90203857,89.50600433,90.1855545,91.78167725,93.60373688,94.49796295,94.79888916,94.03887177,95.43994141,96.89377594,97.31038666,98.05792999,98.50897217,98.83862305,98.91693115,99.11382294,99.23299408,98.98511505,98.9263916,98.99006653,,
Europe&CentralAsia,91.56369019,92.13053131,93.00930786,93.02180481,93.36890411,94.34413147,95.54528046,96.24126434,96.47829437,96.06046295,96.79205322,97.51805115,97.7535553,98.02315521,98.11433411,98.38548279,98.41013336,98.43127441,98.50398254,98.41088104,98.38496399,98.48022461,,
Ecuador,,58.73281097,,,,,65.83837128,66.67118073,68.25151825,70.70526123,71.16149902,71.48928833,76.16042328,75.59367371,77.08833313,,,94.29466248,93.91815948,93.06835938,96.01322174,98.25260925,99.90297699,
"Egypt,ArabRep.",,,,,,,,95.19905853,95.61341095,,92.95295715,94.97875214,,,,,,,,,,,,
Euroarea,97.58074951,97.33420563,97.65193176,97.31817627,97.36947632,97.07106781,97.72846222,98.31854248,98.44391632,98.36106873,98.30209351,98.21317291,98.26040649,97.98908234,97.79849243,98.05272675,98.03632355,97.89183044,97.93134308,98.00328064,97.96636963,98.07447815,,
Eritrea,,92.38538361,89.0115509,93.60906982,88.56842804,,,95.91414642,84.77523804,86.28739929,91.90522003,89.84721375,89.58673859,86.24285889,83.61139679,89.82205963,88.7736969,89.85518646,93.59818268,94.49385834,95.72232056,,91.2816925,
Spain,99.5415802,98.89135742,,,,,,,,,,,,,,,100,99.00575256,,,,99.97917175,100,
Estonia,,,,99.37359619,,,99.55471039,100,99.75328064,99.82144928,,99.85707855,99.96630859,,,99.59264374,98.8205719,99.6756897,99.44637299,99.64196014,99.37888336,99.40232086,99.30879974,
Ethiopia,,89.53566742,87.77529144,93.12425995,,,98.73869324,,,,,,97.87008667,96.00668335,92.79219055,92.70871735,92.25971222,91.14528656,89.35195923,96.61785126,,,90.91628265,
