country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Caribbeansmallstates,68.25750422,71.67578931,71.27421286,70.96739411,71.72808026,70.97197053,71.02367635,70.09925512,69.14665257,68.98646985,68.64435883,68.81208557,68.96075404,69.5154259,70.27513979,71.19259815,71.65525444,71.54386532,72.28320105,71.93596132,72.54032939,72.90573577,73.52355317,74.31064868,74.54649059,74.57192375,74.65214177
Cuba,48.02923952,48.46798374,48.90877205,49.34336531,49.76335855,50.16847333,50.61140495,51.048263,51.4902061,51.95226925,52.43934911,52.98258767,53.54892159,54.12555995,54.69478232,56.78665816,58.95615908,60.90725364,60.89916739,61.38088561,61.54124996,61.86931234,61.97001644,62.07966697,62.11742704,61.98779235,61.8111741
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaymanIslands,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,57.17411688,58.70828801,59.65631259,59.20956129,60.99659168,59.36638354,60.61734713,63.03708324,63.13567544,63.35409288,69.03696158,72.40828543,73.90683159,74.59716413,73.87964869,73.28800013,74.68771758,76.16617605,77.10200057,78.67844585,80.13685579,79.80174594,78.78817892,79.233357,81.90663371,81.91653556,81.97021892
CzechRepublic,73.23836025,73.22812387,73.3879251,73.49686428,73.73615494,73.32744274,72.67658899,72.95135867,73.38535783,73.9339265,73.98687526,73.95547194,73.65709433,74.02985395,73.90595029,73.75059843,73.78011532,72.92796009,72.39863348,72.58648337,72.46176215,73.26489562,73.96036041,74.82832687,74.58693514,74.90178061,75.27269146
Germany,62.22075643,66.37481701,66.83235532,67.36903148,67.71521798,68.44982856,69.05038696,69.83303821,70.26407122,71.69296468,72.36526096,73.1453744,74.26829827,75.36070794,75.7311043,75.5665449,76.88013297,77.57468251,77.91216272,78.71768586,79.39263929,80.38386527,80.66804394,81.51642794,81.91096547,82.07969079,82.275633
Djibouti,41.26931576,42.07740506,42.53241408,43.22049407,43.76962001,44.29089093,44.83045847,45.21866399,45.56669814,45.94928511,46.50504562,47.07688674,47.71727705,48.41420926,49.14130277,49.91463401,50.58601494,51.31261157,52.02945884,52.69815146,53.26983597,53.46995397,53.62970877,53.66798032,53.67641856,53.56922597,53.47326066
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,81.64367565,83.00985568,83.75413141,84.08461126,81.05945821,79.26090897,79.84298158,80.21002455,82.75958337,82.5638579,83.67165054,83.91090013,83.07065256,83.44250659,84.33237678,84.6516708,85.43940099,85.60049729,85.6753858,86.29721606,86.51914862,87.13202679,87.73403264,88.52651701,87.52675354,87.72805501,87.8809024
DominicanRepublic,51.65155519,51.77081365,52.35301835,52.7666163,52.92132788,53.36694562,53.98970693,54.78896285,55.70287133,56.60827116,57.41589088,57.94508713,58.64748874,59.0618818,59.56706042,60.46881063,61.45956327,62.37246266,61.21197418,60.04651677,62.63609623,64.31766024,65.19343637,65.78412189,66.32451874,66.40616987,66.50520886
Algeria,13.35387491,13.61767416,13.9099092,14.23193379,14.58109971,14.95542067,15.32737381,15.39996078,15.52502403,15.70502609,15.94128961,16.22158516,16.55700501,16.94649893,17.3857121,17.87107717,18.41037644,19.00243333,19.65010765,20.35790673,20.51025692,21.90910973,23.41593075,24.02263167,23.76751662,23.8760417,23.96985829
EastAsia&Pacific(excludinghighincome),83.45040179,83.12907186,82.81943614,82.67888241,82.5523308,82.42707505,82.30508822,82.15818219,82.19971984,81.98782803,81.90567872,81.70628039,81.42473495,81.12401326,80.8241677,80.68482955,80.39024007,80.2084137,79.97270304,79.65378677,79.5159713,79.54434035,79.41994877,79.30906545,79.26642224,79.08668482,78.91122962
Early-demographicdividend,49.06761982,49.03284799,49.13440458,49.30928066,49.8308192,49.8448369,49.77118514,49.77298936,50.0035662,50.08285528,49.98008206,50.55257197,50.81180057,50.98752514,51.27707777,51.6702856,51.07029409,50.56426065,49.93538666,49.41847291,49.00692789,48.81442782,48.70757635,48.84760096,49.02291869,49.1507857,49.27636753
EastAsia&Pacific,81.36322457,81.08716372,80.797004,80.66665364,80.59607737,80.51979577,80.46268945,80.39685729,80.4132991,80.27115389,80.26598511,80.16779541,79.94149627,79.7227876,79.51698726,79.45613009,79.2442372,79.10273543,78.93345638,78.70452897,78.67258417,78.67148548,78.60368112,78.58518379,78.59332016,78.4362401,78.2855717
Europe&CentralAsia(excludinghighincome),73.0245021,72.71853592,72.26184377,71.42480925,71.52254574,71.69546128,71.66966029,71.96209236,72.03761702,73.10951874,73.05849494,73.14819426,73.91836886,74.10320723,73.7604927,73.57779231,73.772049,73.50542162,72.82044737,72.93425418,72.60806014,72.55580987,72.36104018,72.22289044,71.89318755,71.71603636,71.5951121
Europe&CentralAsia,69.18342023,69.68262311,69.79545154,69.6850328,69.98369468,70.29020171,70.59970648,70.97661326,71.30300554,72.3054159,72.59543374,72.87275252,73.58615673,74.11690511,74.2896129,74.42776896,74.85090652,74.93236312,74.92923093,75.4245591,75.59527622,75.84248449,76.05435389,76.30323091,76.37718551,76.36142243,76.39885481
Ecuador,50.75474436,51.49125074,52.44987053,53.46203553,54.32562742,55.33206934,56.34220456,57.14995278,58.04856776,59.60855089,60.83185082,61.74978007,62.77052758,63.95952598,67.82231166,65.29486072,65.98548747,64.31451282,63.20181931,64.05849916,61.92148011,61.28711072,62.1968753,60.66389274,61.44558686,61.42051964,61.40150617
"Egypt,ArabRep.",34.79681558,29.66122092,31.29361207,29.56955314,30.21439,28.87055452,27.98249759,27.14203726,26.34161479,26.45679452,27.03776375,28.0160907,26.25161395,26.47503815,26.77754163,27.17675624,28.36076391,30.93971031,30.74624801,30.59260475,29.99086801,28.91791122,29.14316565,30.12608688,29.74468374,29.92021422,30.09661533
Euroarea,61.70234236,63.44359544,64.04526677,64.66552257,65.35909418,66.13639788,66.80622133,67.38928298,67.92331721,69.05885944,69.74442867,70.11350057,70.94504615,72.17494702,72.85157904,73.40977771,74.30375537,74.95943704,75.6420462,76.63066783,77.26054701,77.9283485,78.57198761,79.14050092,79.62824446,79.74510984,79.90042875
Eritrea,83.42967842,82.82150194,82.09574941,80.84796246,79.55152708,79.26254965,79.17898713,79.47225598,80.21297476,81.12297032,82.15431025,82.84790413,83.70187906,84.63443069,85.29157756,85.74006541,86.07918426,86.22127108,86.57980085,86.51301144,86.47221496,86.24547404,86.04488773,86.01089036,85.99833932,86.09058555,86.21091426
Spain,49.1782203,50.09610064,52.06762113,53.57035235,55.56027227,56.94178744,57.81494102,58.84873348,59.16737594,59.99454068,61.53533976,60.56224359,62.55030459,64.33890077,66.05671536,67.13464175,69.0432447,70.26243383,72.15916024,74.58258389,76.14652532,77.82232627,79.13570025,79.82980036,80.6352106,80.82790347,80.99735193
Estonia,82.22863527,81.06255798,79.83843002,78.54661185,77.19016333,75.77012069,76.61121875,77.50660793,75.8212527,76.73472345,77.0424343,77.74545469,77.56477708,77.20781386,78.45137501,81.39169253,81.06269063,78.64350961,79.10094623,80.52468058,82.76331258,83.10439284,81.22361841,81.25217782,79.92011403,79.74516566,79.73913501
Ethiopia,79.02276251,79.33115458,79.66133788,79.35884311,79.33186085,79.2465423,78.97397818,78.98289548,79.19694452,79.16117327,80.47628186,81.73186744,82.94219971,84.1112285,85.23602291,86.31744533,86.25914031,86.20468177,86.15503582,86.11175599,86.0737206,86.04358035,86.01378695,85.98481644,86.37083254,86.44794834,86.52721062
EuropeanUnion,66.62356645,67.7476287,68.30897361,68.85797175,69.37789209,69.84117097,70.26187545,70.80773184,71.22262724,72.08287055,72.6045269,73.01005791,73.46488508,74.13986489,74.69594199,75.00220372,75.61966539,75.90847092,76.32548725,77.08900555,77.69320538,78.22673206,78.71331689,79.22349589,79.57239611,79.68816288,79.84710572
Fragileandconflictaffectedsituations,71.64295875,71.667066,71.75287872,71.90040751,71.93681799,72.0589401,72.21684752,72.32660446,72.32339491,72.34207452,72.54111849,72.60420314,72.76428078,72.93191749,72.99192416,72.93302598,72.85974928,72.82098412,72.8268398,72.86203761,72.92736792,72.91374644,73.07876256,73.18361464,73.27328162,73.25649421,73.21301101
Finland,81.89836886,81.8787464,81.95226363,81.73604247,81.75331937,82.01014075,82.32476892,82.78710442,82.9496823,83.987172,84.34850139,84.48363302,85.68726161,85.25006359,85.73452419,86.86202294,86.77798435,87.25367325,86.49563042,88.190362,86.9499221,86.31208838,87.23049645,88.06585366,88.70040647,88.55896585,88.50784591
Fiji,34.89278324,37.09423951,39.4141374,41.84860039,44.39771314,47.05793598,49.84238675,50.02172738,50.21033653,50.40591152,50.60454871,50.8024062,51.00423117,51.20975708,51.415879,51.62492741,51.91113113,52.21841082,52.14586464,52.00722286,52.00105801,51.96192034,51.90459782,51.90362189,51.92083796,51.93710448,51.96384247
France,70.45700035,71.78677539,72.54095506,73.78627056,74.54047464,75.49449852,75.7736185,75.59286892,76.39984902,76.91024191,77.25250404,77.29899853,77.42498583,79.70438266,79.6606679,80.71639137,81.21238527,81.97126555,82.28491502,82.82705029,83.03627144,83.3524671,83.41620619,83.77911552,84.41043272,84.482928,84.62234204
FaroeIslands,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia,Fed.Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,81.08599405,80.49657402,80.61265444,80.29446708,80.6042831,80.92205831,81.24205882,81.56324666,81.88924228,82.22520016,82.57125752,82.94599793,83.32898512,83.71562011,84.10622572,84.49976619,81.6132499,78.59329312,75.49529737,72.3776357,69.28496784,69.21715868,69.17177947,69.09905544,69.08098425,69.33879798,69.6288239
UnitedKingdom,70.40866933,70.85332521,71.75514769,72.76619037,73.20433836,73.51381322,74.3888715,75.21380702,75.67551737,76.24140482,76.73850234,77.40175239,78.25680627,77.89572199,78.90472644,79.30556593,79.7426512,79.32556258,79.72811974,80.32354134,81.15275312,81.21249384,81.32236555,82.31050917,82.65765559,82.82883182,83.00032911
Georgia,73.52239883,73.80539178,76.15549426,78.50080427,79.26803445,78.88639837,77.94846483,77.18786666,76.98200652,76.83620933,73.96029172,76.25140527,74.94716338,75.97556203,76.24480929,75.57426901,74.76618125,73.94348823,73.15222213,72.43406904,74.52275068,73.18303421,73.09797297,72.98938434,72.95318192,73.03684688,73.16986371
Ghana,96.99765239,97.26016853,97.58651385,97.22283364,96.92332022,96.60875473,96.25994374,95.93522922,95.60388116,95.28696339,94.98968694,94.80108179,94.62669308,94.46997329,94.33878931,94.24468673,94.1670063,94.38497267,94.65195985,94.93966387,95.22409983,95.47457275,95.6907812,95.87647128,96.12111202,96.13709667,96.12831134
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,63.70984796,64.64906596,65.59211741,66.52342371,67.45506498,68.37065697,69.29706899,70.2156269,71.13697574,72.05130707,72.96797101,73.86997089,74.75688488,75.66461707,76.56118487,77.44909808,78.30650478,79.16074676,79.98763224,80.83546723,81.70872899,82.53087447,82.52859043,92.88543677,93.36058158,93.3362263,93.30781002
"Gambia,The",81.75252547,81.72229452,81.65044253,81.66248548,82.06428087,82.58576566,83.18830573,83.69087946,84.34818189,84.69653695,84.98917298,85.13536391,85.9544593,85.87090683,85.77894423,85.89287878,85.93598146,86.03823855,86.2080481,86.55611814,86.86418886,86.94746424,87.03433251,87.11747962,87.1929958,87.28569828,87.36358131
Guinea-Bissau,79.7977741,79.90738489,79.92375343,79.73817027,79.54773854,79.47591583,79.25154961,79.40747305,81.60826773,82.02329309,82.2125552,82.51307209,82.95966169,83.28182646,83.48038179,83.63807447,83.90735936,84.18501823,84.45185963,84.71356478,84.91680843,84.9202045,85.31610243,85.61022091,85.82569742,85.85217426,85.87295745
EquatorialGuinea,79.96657307,78.99915588,78.0090717,77.06395846,76.21308442,75.50324333,74.92658513,74.51700221,74.29510551,74.27487745,72.68741276,72.94757271,73.34850917,73.83252881,74.32887253,74.79053268,75.15597424,75.48133825,75.77749015,76.05857569,76.3324677,76.57874816,76.81728345,77.04761401,77.26448437,77.49885835,77.71756453
Greece,53.74865492,51.39149831,53.25554731,53.94550462,54.27480838,55.23265728,57.16985125,57.72705593,60.06480326,61.72363752,61.69606822,61.34963882,62.32600421,63.21279977,65.13342883,65.58151292,66.08847361,66.25315712,66.33826772,68.15488497,69.42647323,70.34606804,71.80704028,72.00936738,73.27122957,73.26574493,73.26262554
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,32.90131718,33.93740588,34.99871736,36.08547329,37.2054659,38.35813927,39.5085434,40.69444394,41.91461757,43.15332166,44.41105128,45.67300351,46.95912254,48.26022275,49.58842743,51.47471728,53.5529537,52.3485524,51.15477078,49.97283185,48.80325678,47.6486753,52.42532854,48.53966748,49.17942188,49.35336756,49.53271198
Guam,66.53676239,67.21589797,67.95723532,68.75455238,69.58303529,70.4382022,71.30233133,72.20860627,73.14125482,74.1081579,75.09445435,75.99065798,75.95572123,74.86023831,73.92337601,80.49235631,79.84588508,70.36950418,73.19487016,75.99320667,78.14642759,80.41856887,80.4962223,80.49256795,80.51324795,80.46538307,80.40687993
