Cyprus,34.6,24.3,13.1,7.2,6.6,6.2hhhh,5.9hhhh,5.6hhhh,5.3hhhh,5.0hhh
CzechRepublic,50.5,41.1,16.6,11.4,11.1,10.9hhhh,10.6hhhh,10.4hhhh,10.1hhhh,9.9hhh
Côted'Ivoire,168,148.1,138.3,137.4,137.5,137.1hhhh,136.7hhhh,136.3hhhh,135.9hhhh,135.5hhh
Denmark,9.2,8.9,8,6.6,5.9,5.5hhhh,5.1hhhh,4.8hhhh,4.4hhhh,4.0hhh
Djibouti,50,45.5,36.4,30.9,26.4,25.4hhhh,24.4hhhh,23.5hhhh,22.5hhhh,21.5hhh
DominicanRepublic,110.2,114.3,111,109.6,108.7,106.5hhhh,104.4hhhh,102.2hhhh,100.0hhhh,97.9hhh
Ecuador,88.7,85.5,84.3,82.5,83,81.6hhhh,80.2hhhh,78.7hhhh,77.3hhhh,75.9hhh
Egypt,86.1,79.9,57.2,52.5,48.7,49.3hhhh,50.0hhhh,50.6hhhh,51.2hhhh,51.9hhh
ElSalvador,108.2,98.7,91.1,85.3,76.7,74.4hhhh,72.1hhhh,69.8hhhh,67.5hhhh,65.2hhh
EquatorialGuinea,134.4,134.4,133.9,128.8,122.9,120.0hhhh,117.2hhhh,114.3hhhh,111.5hhhh,108.7hhh
Eritrea,113.4,108.2,97.9,82.4,76.1,71.7hhhh,67.4hhhh,63.0hhhh,58.7hhhh,54.3hhh
Estonia,44.5,47.1,30.4,23.5,22.6,20.7hhhh,18.8hhhh,16.9hhhh,15.0hhhh,13.1hhh
Ethiopia,119.3,117.7,117.5,105.2,83.6,78.5hhhh,73.5hhhh,68.4hhhh,63.4hhhh,58.4hhh
Fiji,63.3,62.9,45.5,41.2,45.2,45.2hhhh,45.1hhhh,45.0hhhh,44.9hhhh,44.8hhh
Finland,12.7,11.4,9.5,10.6,9.2,8.7hhhh,8.1hhhh,7.6hhhh,7.1hhhh,6.5hhh
France,13.7,11,9.8,10.8,10,9.8hhhh,9.6hhhh,9.4hhhh,9.1hhhh,8.9hhh
Gabon,199.1,181.4,161.3,138.5,123.7,119.0hhhh,114.2hhhh,109.5hhhh,104.7hhhh,99.9hhh
Gambia,179.2,153.2,133.6,117.2,116,115.4hhhh,114.8hhhh,114.2hhhh,113.6hhhh,113.0hhh
Georgia,76.1,68.9,60.5,48.4,50.8,48.6hhhh,46.3hhhh,44.1hhhh,41.9hhhh,39.7hhh
Germany,17,15.9,13.1,12.4,9.8,9.2hhhh,8.5hhhh,7.9hhhh,7.3hhhh,6.7hhh
Ghana,118,103.9,87.1,77.4,71,70.1hhhh,69.3hhhh,68.5hhhh,67.6hhhh,66.8hhh
Greece,29.1,17.3,11.6,10.5,11.7,10.8hhhh,10.0hhhh,9.1hhhh,8.3hhhh,7.5hhh
Grenada,99.2,83.5,61.5,51.2,42.4,40.0hhhh,37.7hhhh,35.3hhhh,32.9hhhh,30.5hhh
Guatemala,126.8,120.6,113.8,104.2,93.2,90.7hhhh,88.2hhhh,85.7hhhh,83.2hhhh,80.7hhh
Guinea,181.3,180.3,174.4,165.3,155.4,152.4hhhh,149.5hhhh,146.5hhhh,143.6hhhh,140.6hhh
Guinea-Bissau,132.1,138.3,134.4,127.3,122.3,115.8hhhh,109.2hhhh,102.6hhhh,96.0hhhh,89.5hhh
Guyana,94.6,99.1,94.5,100.2,94.1,92.9hhhh,91.6hhhh,90.4hhhh,89.2hhhh,88.0hhh
Haiti,78.3,69.9,61.8,52.5,46.4,45.0hhhh,43.6hhhh,42.1hhhh,40.7hhhh,39.3hhh
Honduras,133.5,126.5,115.8,100,84.1,80.2hhhh,76.4hhhh,72.6hhhh,68.8hhhh,65.0hhh
"HongKong,China(SAR)",6,7,5,3.8,3.1,3.1hhhh,3.1hhhh,3.1hhhh,3.2hhhh,3.2hhh
Hungary,46.6,36.5,25.6,21,19.6,19.3hhhh,18.9hhhh,18.6hhhh,18.3hhhh,18.0hhh
Iceland,30.9,25.5,23.5,17.2,14.3,12.7hhhh,11.0hhhh,9.4hhhh,7.7hhhh,6.1hhh
India,106,94,76.8,60.2,44.6,40.6hhhh,36.5hhhh,32.5hhhh,28.5hhhh,24.5hhh
Indonesia,72.9,63.1,47.8,51,51.5,51.1hhhh,50.8hhhh,50.4hhhh,50.0hhhh,49.6hhh
Iran(IslamicRepublicof),111.4,75.4,48.6,33.5,31.1,30.2hhhh,29.3hhhh,28.5hhhh,27.6hhhh,26.7hhh
Iraq,75.1,67.5,64.8,66,80,80.8hhhh,81.6hhhh,82.4hhhh,83.2hhhh,84.0hhh
Ireland,15,16,19,19,16.3,15.1hhhh,13.9hhhh,12.8hhhh,11.6hhhh,10.4hhh
Israel,21.9,19.3,17.7,16.1,14,13.1hhhh,12.3hhhh,11.4hhhh,10.5hhhh,9.7hhh
Italy,10,7.7,6.4,7,6.9,6.7hhhh,6.5hhhh,6.4hhhh,6.2hhhh,6.0hhh
Jamaica,112.8,103.4,94.5,82.4,73.5,70.7hhhh,67.9hhhh,65.2hhhh,62.4hhhh,59.7hhh
Japan,4,4,4.4,5.8,5.1,4.9hhhh,4.7hhhh,4.5hhhh,4.3hhhh,4.1hhh
Jordan,56.8,49,40.6,33.1,28,27.0hhhh,26.1hhhh,25.1hhhh,24.2hhhh,23.2hhh
Kazakhstan,46.2,53.7,42.1,29.1,28.1,28.0hhhh,28.0hhhh,28.0hhhh,27.9hhhh,27.9hhh
Kenya,147.8,113.5,105.7,104.2,100.2,98.4hhhh,96.5hhhh,94.6hhhh,92.7hhhh,90.9hhh
Kiribati,49.3,45.9,41.6,33.5,27.2,25.2hhhh,23.2hhhh,21.2hhhh,19.2hhhh,17.2hhh
Korea(DemocraticPeople'sRep.of),3.2,1.8,1.2,1,0.6,0.6hhhh,0.6hhhh,0.6hhhh,0.6hhhh,0.5hhh
Korea(Republicof),6.5,4.2,3,2.2,2.1,2.0hhhh,1.9hhhh,1.8hhhh,1.7hhhh,1.6hhh
Kuwait,32.2,21.4,26.3,19.7,14.2,13.3hhhh,12.4hhhh,11.6hhhh,10.7hhhh,9.8hhh
Kyrgyzstan,49.9,68.3,63.1,34.4,29.8,31.7hhhh,33.7hhhh,35.7hhhh,37.6hhhh,39.6hhh
LaoPeople'sDemocraticRepublic,110,104.9,86.6,75.2,74.7,72.6hhhh,70.5hhhh,68.4hhhh,66.2hhhh,64.1hhh
Latvia,44.9,43.5,21.9,17.3,18.2,17.3hhhh,16.3hhhh,15.4hhhh,14.5hhhh,13.6hhh
Lebanon,51,39,28.3,19.3,12.5,12.5hhhh,12.5hhhh,12.4hhhh,12.4hhhh,12.4hhh
Lesotho,77.7,86.3,94,89.6,93.6,93.4hhhh,93.3hhhh,93.1hhhh,92.9hhhh,92.7hhh
Liberia,182.1,161.4,152.1,147.4,142,135.3hhhh,128.7hhhh,122.1hhhh,115.5hhhh,108.8hhh
Libya,17.1,7.8,6.8,6.6,6.7,6.6hhhh,6.5hhhh,6.4hhhh,6.3hhhh,6.2hhh
Lithuania,30.2,44.9,31.8,21.1,18.9,17.3hhhh,15.8hhhh,14.2hhhh,12.6hhhh,11.0hhh
Luxembourg,11.4,12.5,10.2,11.7,9.6,8.9hhhh,8.2hhhh,7.4hhhh,6.7hhhh,5.9hhh
Madagascar,150.7,150.2,155.1,149.5,134.3,130.7hhhh,127.0hhhh,123.4hhhh,119.8hhhh,116.2hhh
Malawi,194.5,164.2,166.1,158.3,156.4,152.4hhhh,148.3hhhh,144.3hhhh,140.2hhhh,136.2hhh
Malaysia,19.4,19,15,13,12.8,13.0hhhh,13.1hhhh,13.3hhhh,13.4hhhh,13.6hhh
Maldives,171.3,102.6,48.2,23.9,14.2,12.7hhhh,11.2hhhh,9.7hhhh,8.2hhhh,6.7hhh
Mali,194.4,196.3,190.9,186.3,178.2,177.4hhhh,176.7hhhh,176.0hhhh,175.3hhhh,174.6hhh
Malta,12.2,11.9,18.6,20.3,18.4,18.0hhhh,17.7hhhh,17.3hhhh,17.0hhhh,16.6hhh
Mauritania,109.3,106.4,101,94.3,87.6,85.8hhhh,84.0hhhh,82.2hhhh,80.4hhhh,78.6hhh
Mauritius,44.7,42.6,36.3,36.5,34.9,33.6hhhh,32.3hhhh,31.0hhhh,29.7hhhh,28.5hhh
Mexico,88.5,79.8,84.1,76.7,71.2,69.5hhhh,67.8hhhh,66.2hhhh,64.5hhhh,62.8hhh
Micronesia(FederatedStatesof),53.5,48.4,44.8,34.3,25.4,23.3hhhh,21.2hhhh,19.2hhhh,17.1hhhh,15.0hhh
Moldova(Republicof),48.6,63.2,58.1,31,27.2,26.3hhhh,25.4hhhh,24.4hhhh,23.5hhhh,22.6hhh
Mongolia,33.9,38.4,31.4,21.5,19,18.4hhhh,17.7hhhh,17.0hhhh,16.3hhhh,15.7hhh
Montenegro,32.1,26.3,21.8,16.5,18.7,17.4hhhh,16.1hhhh,14.8hhhh,13.5hhhh,12.2hhh
Morocco,45.6,37.1,33.9,34,32.6,32.4hhhh,32.2hhhh,32.1hhhh,31.9hhhh,31.7hhh
Mozambique,179,188.9,180.6,187.4,173.6,166.8hhhh,160.0hhhh,153.3hhhh,146.5hhhh,139.7hhh
Myanmar,44.4,30.8,26.4,24.5,20,19.3hhhh,18.6hhhh,17.9hhhh,17.2hhhh,16.5hhh
Namibia,116.8,103.4,90.4,81.7,79.8,79.2hhhh,78.6hhhh,78.0hhhh,77.4hhhh,76.8hhh
Nepal,134.7,135.1,127.9,111,93.8,89.4hhhh,85.1hhhh,80.7hhhh,76.3hhhh,71.9hhh
Netherlands,6.9,7.1,6.2,7.1,5.3,5.0hhhh,4.8hhhh,4.5hhhh,4.2hhhh,4.0hhh
NewZealand,31.9,33.4,29.9,26.7,30.1,28.8hhhh,27.5hhhh,26.2hhhh,24.9hhhh,23.6hhh
Nicaragua,160.1,146.2,125.2,113.2,104.7,101.5hhhh,98.4hhhh,95.2hhhh,92.0hhhh,88.8hhh
Niger,221.9,222.4,220.9,217.5,213.2,211.0hhhh,208.9hhhh,206.7hhhh,204.5hhhh,202.4hhh
Nigeria,154.9,143.4,136.6,130.3,123.2,120.7hhhh,118.1hhhh,115.6hhhh,113.1hhhh,110.6hhh
